,game_id,team,home_away,pts_scored_last_5_games,pts_scored_season,pts_conceded_last_5_games,pts_conceded_season,totalyYds_gained_last_5,totalyYds_gained_season,passing_yds_gained_last_5,passing_yds_gained_season,rushing_yds_gained_last_5,rushing_yds_gained_season,totalyYds_allowed_last_5,totalyYds_allowed_season,passing_yds_allowed_last_5,passing_yds_allowed_season,rushing_yds_allowed_last_5,rushing_yds_allowed_season,penalty_yds_awarded_last_5,penalty_yds_awarded_season,penalty_yds_conceded_last_5,penalty_yds_conceded_season,first_downs_gained_last_5,first_downs_gained_season,first_downs_conceded_last_5,first_downs_conceded_season,turnovers_won_last_5,turnovers_won_season,turnovers_conceded_last_5,turnovers_conceded_season,opp_team,opp_pts_scored_last_5_games,opp_pts_scored_season,opp_pts_conceded_last_5_games,opp_pts_conceded_season,opp_totalyYds_gained_last_5,opp_totalyYds_gained_season,opp_passing_yds_gained_last_5,opp_passing_yds_gained_season,opp_rushing_yds_gained_last_5,opp_rushing_yds_gained_season,opp_totalyYds_allowed_last_5,opp_totalyYds_allowed_season,opp_passing_yds_allowed_last_5,opp_passing_yds_allowed_season,opp_rushing_yds_allowed_last_5,opp_rushing_yds_allowed_season,opp_penalty_yds_awarded_last_5,opp_penalty_yds_awarded_season,opp_penalty_yds_conceded_last_5,opp_penalty_yds_conceded_season,opp_first_downs_gained_last_5,opp_first_downs_gained_season,opp_first_downs_conceded_last_5,opp_first_downs_conceded_season,opp_turnovers_won_last_5,opp_turnovers_won_season,opp_turnovers_conceded_last_5,opp_turnovers_conceded_season
36,56937,GB,home,20.5,20.5,20.0,20.0,278.5,278.5,189.5,189.5,89.0,89.0,316.0,316.0,277.0,277.0,39.0,39.0,48.0,48.0,108.0,108.0,19.0,19.0,17.5,17.5,1.0,1.0,1.5,1.5,DET,27.0,27.0,25.5,25.5,411.5,411.5,285.0,285.0,126.5,126.5,406.5,406.5,296.0,296.0,110.5,110.5,104.0,104.0,64.0,64.0,25.0,25.0,23.5,23.5,0.5,0.5,0.5,0.5
37,56938,JAX,home,18.5,18.5,32.5,32.5,368.0,368.0,309.5,309.5,58.5,58.5,325.5,325.5,203.0,203.0,122.5,122.5,86.0,86.0,23.5,23.5,20.0,20.0,21.5,21.5,0.5,0.5,2.0,2.0,BAL,19.0,19.0,13.5,13.5,345.0,345.0,263.5,263.5,81.5,81.5,273.5,273.5,168.5,168.5,105.0,105.0,32.0,32.0,74.0,74.0,20.0,20.0,14.0,14.0,1.0,1.0,1.5,1.5
38,56939,MIA,home,17.0,17.0,21.5,21.5,340.5,340.5,273.5,273.5,67.0,67.0,408.5,408.5,272.0,272.0,136.5,136.5,44.5,44.5,67.0,67.0,17.0,17.0,25.0,25.0,1.5,1.5,2.0,2.0,CLE,15.0,15.0,27.0,27.0,337.5,337.5,205.0,205.0,132.5,132.5,392.5,392.5,286.0,286.0,106.5,106.5,37.0,37.0,37.5,37.5,15.5,15.5,22.5,22.5,1.0,1.0,1.5,1.5
39,56940,NYG,home,18.0,18.0,16.0,16.0,366.5,366.5,278.0,278.0,88.5,88.5,308.0,308.0,237.0,237.0,71.0,71.0,32.5,32.5,63.0,63.0,20.0,20.0,20.0,20.0,0.0,0.0,2.0,2.0,WAS,19.5,19.5,32.5,32.5,408.0,408.0,339.5,339.5,68.5,68.5,407.5,407.5,283.0,283.0,124.5,124.5,53.0,53.0,60.0,60.0,21.0,21.0,23.5,23.5,1.0,1.0,1.5,1.5
40,56941,TEN,home,16.0,16.0,20.0,20.0,339.5,339.5,238.0,238.0,101.5,101.5,338.0,338.0,237.0,237.0,101.0,101.0,46.5,46.5,88.5,88.5,20.5,20.5,18.5,18.5,0.5,0.5,2.0,2.0,OAK,31.5,31.5,34.5,34.5,470.0,470.0,309.0,309.0,161.0,161.0,518.0,518.0,404.5,404.5,113.5,113.5,99.5,99.5,63.0,63.0,27.0,27.0,27.0,27.0,1.0,1.0,0.0,0.0
41,56942,SEA,home,7.5,7.5,9.5,9.5,329.0,329.0,239.5,239.5,89.5,89.5,252.5,252.5,188.5,188.5,64.0,64.0,91.5,91.5,59.0,59.0,19.0,19.0,14.0,14.0,0.0,0.0,2.0,2.0,SF,27.5,27.5,23.0,23.0,311.0,311.0,203.5,203.5,107.5,107.5,357.0,357.0,236.5,236.5,120.5,120.5,30.0,30.0,76.0,76.0,22.0,22.0,18.0,18.0,3.0,3.0,2.0,2.0
42,56943,TB,home,19.0,19.0,32.0,32.0,338.5,338.5,251.0,251.0,87.5,87.5,395.0,395.0,318.5,318.5,76.5,76.5,43.5,43.5,52.0,52.0,20.5,20.5,19.5,19.5,0.0,0.0,3.0,3.0,LA,4.5,4.5,15.5,15.5,234.0,234.0,169.5,169.5,64.5,64.5,313.0,313.0,204.5,204.5,108.5,108.5,90.0,90.0,62.0,62.0,13.5,13.5,22.5,22.5,1.5,1.5,1.0,1.0
43,56946,PHI,home,29.0,29.0,12.0,12.0,341.5,341.5,225.0,225.0,116.5,116.5,286.0,286.0,194.0,194.0,92.0,92.0,40.0,40.0,37.5,37.5,22.0,22.0,15.0,15.0,2.0,2.0,0.0,0.0,PIT,31.0,31.0,16.0,16.0,404.5,404.5,269.0,269.0,135.5,135.5,398.0,398.0,347.5,347.5,50.5,50.5,67.5,67.5,43.0,43.0,21.0,21.0,19.5,19.5,2.0,2.0,1.5,1.5
44,56944,IND,home,27.5,27.5,36.5,36.5,351.5,351.5,269.0,269.0,82.5,82.5,424.0,424.0,299.0,299.0,125.0,125.0,69.5,69.5,62.0,62.0,22.0,22.0,26.0,26.0,0.5,0.5,1.0,1.0,SD,32.5,32.5,23.5,23.5,372.5,372.5,220.0,220.0,152.5,152.5,400.5,400.5,324.5,324.5,76.0,76.0,26.5,26.5,69.5,69.5,25.0,25.0,23.0,23.0,2.0,2.0,0.5,0.5
45,56945,KC,home,22.5,22.5,23.0,23.0,352.0,352.0,251.0,251.0,101.0,101.0,369.5,369.5,243.5,243.5,126.0,126.0,61.5,61.5,37.0,37.0,20.0,20.0,20.0,20.0,1.0,1.0,2.0,2.0,NYJ,29.5,29.5,27.0,27.0,416.5,416.5,279.0,279.0,137.5,137.5,387.0,387.0,315.5,315.5,71.5,71.5,72.5,72.5,51.5,51.5,25.0,25.0,17.0,17.0,1.0,1.0,1.0,1.0
