,game_id,team,opp_team,home_away,home_score,away_score,win,margin,total_pts,year,week,pts_scored_last_5_games,pts_scored_season,pts_conceded_last_5_games,pts_conceded_season,totalyYds_gained_last_5,totalyYds_gained_season,passing_yds_gained_last_5,passing_yds_gained_season,rushing_yds_gained_last_5,rushing_yds_gained_season,totalyYds_allowed_last_5,totalyYds_allowed_season,passing_yds_allowed_last_5,passing_yds_allowed_season,rushing_yds_allowed_last_5,rushing_yds_allowed_season,penalty_yds_awarded_last_5,penalty_yds_awarded_season,penalty_yds_conceded_last_5,penalty_yds_conceded_season,first_downs_gained_last_5,first_downs_gained_season,first_downs_conceded_last_5,first_downs_conceded_season,turnovers_won_last_5,turnovers_won_season,turnovers_conceded_last_5,turnovers_conceded_season
65,54532,DET,PIT,home,20,28,FALSE,8,48,2009,5,-0.5,-0.5,14,14,-65,-65,-61.5,-61.5,-3.5,-3.5,81.75,81.75,21.75,21.75,60,60,3,3,13.5,13.5,-2.5,-2.5,2.75,2.75,0.5,0.5,0,0
66,54533,KC,DAL,home,20,26,FALSE,6,46,2009,5,-8,-8,8.5,8.5,-154.5,-154.5,-92.25,-92.25,-62.25,-62.25,7.75,7.75,-5.75,-5.75,13.5,13.5,-2.75,-2.75,-3,-3,-5.75,-5.75,1.75,1.75,0,0,-0.5,-0.5
67,54534,NYG,OAK,home,44,7,TRUE,37,51,2009,5,16.25,16.25,-5.5,-5.5,192.5,192.5,135.75,135.75,56.75,56.75,-124.5,-124.5,-95.5,-95.5,-29,-29,-3.5,-3.5,-0.75,-0.75,9.5,9.5,-5.75,-5.75,0.25,0.25,-1.25,-1.25
68,54535,PHI,TB,home,33,14,TRUE,19,47,2009,5,17.83333333,17.83333333,-2.75,-2.75,103.8333333,103.8333333,79.8333333,79.8333333,24,24,-131.5,-131.5,-65.75,-65.75,-65.75,-65.75,-1,-1,-4.66666667,-4.66666667,4.83333333,4.83333333,-5,-5,1.5,1.5,1.083333333,1.083333333
69,54536,STL,MIN,home,10,38,FALSE,28,48,2009,5,-23.5,-23.5,7,7,-70.25,-70.25,-58.5,-58.5,-11.75,-11.75,58.75,58.75,13.25,13.25,45.5,45.5,25,25,-21,-21,-5,-5,4.25,4.25,-1,-1,1.25,1.25
70,54537,SF,ATL,home,10,45,FALSE,35,55,2009,5,6.5,6.5,-4.41666667,-4.41666667,-39,-39,-54.4166667,-54.4166667,15.41666667,15.41666667,-97.3333333,-97.3333333,-35.0833333,-35.0833333,-62.25,-62.25,1.5,1.5,39,39,-4.58333333,-4.58333333,-6.66666667,-6.66666667,-0.25,-0.25,-0.5,-0.5
71,54538,ARI,HOU,home,28,21,TRUE,7,49,2009,5,-4.5,-4.5,-0.33333333,-0.33333333,2.75,2.75,25.0833333,25.0833333,-22.33333333,-22.33333333,-8.5,-8.5,76.5833333,76.5833333,-85.08333333,-85.08333333,22.83333333,22.83333333,-11,-11,2.75,2.75,-0.58333333,-0.58333333,-0.083333333,-0.083333333,0.833333333,0.833333333
72,54539,DEN,NE,home,20,17,TRUE,3,37,2009,5,-2,-2,-11.25,-11.25,-11,-11,-56.75,-56.75,45.75,45.75,-47.75,-47.75,-29.75,-29.75,-18,-18,1.25,1.25,-18,-18,-6.25,-6.25,-3,-3,1.25,1.25,0,0
73,54540,SEA,JAC,home,41,0,TRUE,41,41,2009,5,-5.75,-5.75,-1,-1,-21.5,-21.5,14,14,-35.5,-35.5,-37.25,-37.25,-62.5,-62.5,25.25,25.25,4,4,11,11,0.5,0.5,-4.5,-4.5,-1.25,-1.25,0.75,0.75
74,54541,TEN,IND,home,9,31,FALSE,22,40,2009,5,-7.75,-7.75,11.5,11.5,-55.75,-55.75,-108.75,-108.75,53,53,53.75,53.75,80.5,80.5,-26.75,-26.75,5.25,5.25,7.75,7.75,-2,-2,-0.5,-0.5,0,0,1.75,1.75
75,54542,MIA,NYJ,home,31,27,TRUE,4,58,2009,5,1.75,1.75,5.5,5.5,24.5,24.5,-28.5,-28.5,53,53,21.75,21.75,61,61,-39.25,-39.25,-12.5,-12.5,-29.25,-29.25,6,6,-0.5,-0.5,-1,-1,-0.25,-0.25
76,54543,CIN,HOU,home,17,28,FALSE,11,45,2009,6,-2.8,-2.8,-6,-6,-13.6,-13.6,-64.8,-64.8,51.2,51.2,-35.2,-35.2,6.6,6.6,-41.8,-41.8,9.4,9.4,0.4,0.4,1,1,-1.8,-1.8,-0.4,-0.4,0.2,0.2
77,54544,GB,DET,home,26,0,TRUE,26,26,2009,6,5.4,5.4,-9.15,-9.15,18.75,18.75,22.2,22.2,-3.45,-3.45,-22.75,-22.75,-21.6,-21.6,-1.15,-1.15,-2.75,-2.75,-10.45,-10.45,-0.75,-0.75,0.25,0.25,1.3,1.3,-1.05,-1.05
78,54545,JAC,STL,home,23,20,TRUE,3,43,2009,6,12.6,12.6,-3.8,-3.8,46.8,46.8,47.6,47.6,-0.8,-0.8,17.6,17.6,35.8,35.8,-18.2,-18.2,-21.6,-21.6,5,5,1.2,1.2,1,1,0.8,0.8,-1,-1
79,54546,MIN,BAL,home,33,31,TRUE,2,64,2009,6,3.6,3.6,-1.4,-1.4,-49.6,-49.6,-32.6,-32.6,-17,-17,6.6,6.6,-13.4,-13.4,20,20,-31,-31,16.8,16.8,-3.8,-3.8,0.8,0.8,0.6,0.6,-0.6,-0.6
80,54547,NO,NYG,home,48,27,TRUE,21,75,2009,6,5.8,5.8,2.3,2.3,-3.15,-3.15,-9,-9,5.85,5.85,84.65,84.65,105.7,105.7,-21.05,-21.05,9.8,9.8,19.7,19.7,0.1,0.1,3,3,1.05,1.05,0.5,0.5
81,54548,PIT,CLE,home,27,14,TRUE,13,41,2009,6,11.6,11.6,-4.6,-4.6,127.4,127.4,133.2,133.2,-5.8,-5.8,-89.4,-89.4,10,10,-99.4,-99.4,10.6,10.6,-13.8,-13.8,7.4,7.4,-2.8,-2.8,-0.6,-0.6,-0.6,-0.6
82,54549,TB,CAR,home,21,28,FALSE,7,49,2009,6,-0.65,-0.65,2,2,2.2,2.2,4.85,4.85,-2.65,-2.65,58.55,58.55,61.45,61.45,-2.9,-2.9,6.4,6.4,7.4,7.4,-0.45,-0.45,0.25,0.25,-0.05,-0.05,-1.9,-1.9
